Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
CPNG,20.51,2026/04/24,16:00 EDT,-0.0699997,20.53,20.55,20.095,13695272,20251125,27.6987,216.0,,,,,BUY
ELF,66.28,2026/04/24,16:00 EDT,0.0499954,66.87,67.82,65.8,1677318,20260121,90.6601,69.0,,,,,SELL
ELF,66.28,2026/04/24,16:00 EDT,0.0499954,66.87,67.82,65.8,1677318,20251107,71.5699,69.0,,,,,BUY
ACHR,5.7,2026/04/24,16:00 EDT,-0.0700002,5.86,5.87,5.59,20374396,20251107,7.7489,386.0,,,,,BUY
MOH,175.94,2026/04/24,16:00 EDT,1.24001,175.12,176.04,167.68,1434794,20260114,188.6101,33.0,,,,,SELL
MOH,175.94,2026/04/24,16:00 EDT,1.24001,175.12,176.04,167.68,1434794,20251104,150.5399,33.0,,,,,BUY
PFE,27.0,2026/04/24,16:01 EDT,0.33,26.69,27.299,26.58,36734599,20251104,24.25,412.0,,,,,BUY
FRSH,8.46,2026/04/24,16:00 EDT,0.19999981,8.3,8.52,8.275,5747118,20251205,12.8115,322.0,,,,,SELL
FRSH,8.46,2026/04/24,16:00 EDT,0.19999981,8.3,8.52,8.275,5747118,20251104,10.8487,322.0,,,,,BUY
POET,15.1,2026/04/24,16:00 EDT,3.38,13.558,15.5,12.4,78851211,20260421,10.48,338.0,,,,,SELL
POET,15.1,2026/04/24,16:00 EDT,3.38,13.558,15.5,12.4,78851211,20251104,5.90544,338.0,,,,,BUY
LRN,98.12,2026/04/24,16:00 EDT,-0.239998,97.63,99.24,96.5065,536275,20260206,86.6601,57.0,,,,,SELL
LRN,98.12,2026/04/24,16:00 EDT,-0.239998,97.63,99.24,96.5065,536275,20251030,69.5999,57.0,,,,,BUY
EME,869.9,2026/04/24,16:00 EDT,-3.20996,875.95,881.84,855.36,372950,20251030,650.8699,8.0,,,,,BUY
NTLA,13.63,2026/04/24,16:00 EDT,-2.2399998,15.89,16.04,13.42,9028426,20260122,15.6401,95.0,,,,,SELL
NTLA,13.63,2026/04/24,16:00 EDT,-2.2399998,15.89,16.04,13.42,9028426,20251029,12.8888,116.0,,,,,BUY
NTLA,13.63,2026/04/24,16:00 EDT,-2.2399998,15.89,16.04,13.42,9028426,20251027,13.7589,145.0,,,,,BUY
OS,24.0,2026/03/31,16:00 EDT,0.0,24.0,24.01,23.99,2661330,20251107,21.3192,273.0,,,,,SELL
OS,24.0,2026/03/31,16:00 EDT,0.0,24.0,24.01,23.99,2661330,20251027,18.2493,273.0,,,,,BUY
IOVA,3.44,2026/04/24,16:00 EDT,-0.03999996,3.49,3.57,3.4,11715211,20260225,4.1924,450.0,,,,,SELL
IOVA,3.44,2026/04/24,16:00 EDT,-0.03999996,3.49,3.57,3.4,11715211,20251023,2.219,450.0,,,,,BUY
SMR,11.96,2026/04/24,16:01 EDT,-0.76,13.2,13.49,11.88,32093926,20251113,23.4599,58.0,,,,,BUY
SMR,11.96,2026/04/24,16:01 EDT,-0.76,13.2,13.49,11.88,32093926,20251028,43.5201,90.0,,,,,SELL
SMR,11.96,2026/04/24,16:01 EDT,-0.76,13.2,13.49,11.88,32093926,20251022,33.3199,90.0,,,,,BUY
REKR,0.8685,2026/04/24,16:00 EDT,0.02429998,0.875,0.8781,0.8296,1534095,20251022,2.69,744.0,,,,,BUY
AMWL,5.88,2026/04/24,16:00 EDT,-0.22,6.07,6.07,5.86,15933,20251022,5.4618,366.0,,,,,BUY
JD,30.27,2026/04/24,16:00 EDT,0.29000092,30.15,30.38,30.03,3833898,20251021,33.8866,221.0,,,,,BUY
SOC,13.58,2026/04/24,16:00 EDT,-0.68,14.12,14.18,13.49,1882863,20260209,8.449,325.0,,,,,SELL
SOC,13.58,2026/04/24,16:00 EDT,-0.68,14.12,14.18,13.49,1882863,20251016,13.84,325.0,,,,,BUY
BYND,0.8734,2026/04/24,16:00 EDT,-0.07669997,0.95,1.03,0.8631,117985990,20251023,3.2,164.0,,,,,BUY
BYND,0.8734,2026/04/24,16:00 EDT,-0.07669997,0.95,1.03,0.8631,117985990,20251020,0.8967,1693.0,,,,,SELL
BYND,0.8734,2026/04/24,16:00 EDT,-0.07669997,0.95,1.03,0.8631,117985990,20251016,0.5901,1693.0,,,,,BUY
DOCN,95.21,2026/04/24,16:01 EDT,-0.650002,96.67,97.505,93.53,1247329,20251209,50.9801,93.0,,,,,SELL
DOCN,95.21,2026/04/24,16:01 EDT,-0.650002,96.67,97.505,93.53,1247329,20251015,42.6999,93.0,,,,,BUY
ROKU,115.22,2026/04/24,16:00 EDT,0.26000214,116.5,116.5,113.21,2236586,20251015,96.3899,82.0,,,,,BUY
RACE.MI,297.65,2026/04/27,11:26 CEST,-1.8999939,299.5,300.05,296.9,47766,20251013,329.3,7.0,,,,,BUY
PENG,30.69,2026/04/24,16:00 EDT,3.08,28.64,30.72,27.97,2504710,20260424,28.24,230.0,,,,,SELL
PENG,30.69,2026/04/24,16:00 EDT,3.08,28.64,30.72,27.97,2504710,20251008,21.6861,230.0,,,,,BUY
PGY,13.6,2026/04/24,16:00 EDT,0.10000038,13.71,13.74,13.325,2448332,20251007,30.1999,99.0,,,,,BUY
MELI,1835.22,2026/04/24,16:00 EDT,26.02002,1819.43,1841.06,1799.715,299236,20251006,2147.2599,4.0,,,,,BUY
SKYW,86.09,2026/04/24,16:00 EDT,-6.654999,87.96,92.9999,85.27,846716,20260424,86.05,23.0,,,,,BUY
SKYW,86.09,2026/04/24,16:00 EDT,-6.654999,87.96,92.9999,85.27,846716,20251006,100.41,64.0,,,,,BUY
DE000A0SMU87.SG,11.82,2026/04/27,11:16 CEST,0.5099993,11.31,11.94,11.31,7,20251006,17.8658,112.0,,,,,BUY
ETOR,36.62,2026/04/24,16:00 EDT,-0.36999893,37.18,37.5499,36.44,521215,20251015,38.8229,78.0,,,,,BUY
ETOR,36.62,2026/04/24,16:00 EDT,-0.36999893,37.18,37.5499,36.44,521215,20251006,41.6199,96.0,,,,,BUY
WOOF,2.94,2026/04/24,16:00 EDT,-0.049999952,2.97,2.97,2.91,733122,20251006,3.7787,1057.0,,,,,BUY
MU,496.72,2026/04/24,16:00 EDT,15.0,496.1,506.99,489.36,35379587,20251106,241.66,24.0,,,,,SELL
MU,496.72,2026/04/24,16:00 EDT,15.0,496.1,506.99,489.36,35379587,20250930,165.69,24.0,,,,,BUY
SOFI,18.44,2026/04/24,16:00 EDT,0.12000084,18.44,18.575,18.167,41206251,20251202,29.9101,77.0,,,,,SELL
SOFI,18.44,2026/04/24,16:00 EDT,0.12000084,18.44,18.575,18.167,41206251,20250930,26.0599,77.0,,,,,BUY
OSCR,16.81,2026/04/24,16:00 EDT,0.379999,16.44,16.835,16.21,2783220,20250930,18.5478,161.0,,,,,BUY
PATH,10.37,2026/04/24,16:00 EDT,0.28,10.16,10.37,9.875,21437247,20260223,10.2491,195.0,,,,,BUY
PATH,10.37,2026/04/24,16:00 EDT,0.28,10.16,10.37,9.875,21437247,20251223,15.8186,316.0,,,,,BUY
PATH,10.37,2026/04/24,16:00 EDT,0.28,10.16,10.37,9.875,21437247,20251204,18.2412,293.0,,,,,SELL
PATH,10.37,2026/04/24,16:00 EDT,0.28,10.16,10.37,9.875,21437247,20250930,13.6378,293.0,,,,,BUY
PACS,35.43,2026/04/24,16:00 EDT,0.380001,34.65,35.47,33.67,633346,20251120,27.0801,78.0,,,,,SELL
PACS,35.43,2026/04/24,16:00 EDT,0.380001,34.65,35.47,33.67,633346,20250924,12.7699,78.0,,,,,BUY
RKLB,79.68,2026/04/24,16:00 EDT,-4.919998,86.31,86.4099,79.08,22130433,20251219,68.13,107.0,,,,,SELL
RKLB,79.68,2026/04/24,16:00 EDT,-4.919998,86.31,86.4099,79.08,22130433,20251113,46.2763,107.0,,,,,BUY
RKLB,79.68,2026/04/24,16:00 EDT,-4.919998,86.31,86.4099,79.08,22130433,20251020,70.3701,42.0,,,,,SELL
RKLB,79.68,2026/04/24,16:00 EDT,-4.919998,86.31,86.4099,79.08,22130433,20251020,69.3801,18.0,,,,,SELL
RKLB,79.68,2026/04/24,16:00 EDT,-4.919998,86.31,86.4099,79.08,22130433,20250924,49.32,60.0,,,,,BUY
ZSPC,0.4418,2026/04/24,16:00 EDT,-0.1282,0.5699,0.57,0.4192,3053181,20250923,2.19,246.0,,,,,BUY
UPST,33.49,2026/04/24,16:00 EDT,0.66999817,32.89,33.575,32.55,2540170,20250930,50.496923,39.0,,,,,BUY
UPST,33.49,2026/04/24,16:00 EDT,0.66999817,32.89,33.575,32.55,2540170,20250923,65.16,76.0,,,,,BUY
YALA,6.59,2026/04/24,16:00 EDT,-0.00999975,6.63,6.67,6.53,318513,20250922,7.64297,650.0,,,,,BUY
NTSK,9.63,2026/04/24,16:00 EDT,-0.15999985,9.89,9.97,9.42,2914300,20251008,21.8201,41.0,,,,,SELL
NTSK,9.63,2026/04/24,16:00 EDT,-0.15999985,9.89,9.97,9.42,2914300,20250919,24.80607,41.0,,,,,BUY
NVO,41.17,2026/04/24,16:00 EDT,2.65,40.06,41.23,39.89,24024947,20260107,57.0901,26.0,,,,,SELL
NVO,41.17,2026/04/24,16:00 EDT,2.65,40.06,41.23,39.89,24024947,20250919,61.27713,100.0,,,,,BUY
TTD,23.97,2026/04/24,16:00 EDT,1.3499985,23.64,24.17,22.98,20860704,20260203,28.2199,88.0,,,,,BUY
TTD,23.97,2026/04/24,16:00 EDT,1.3499985,23.64,24.17,22.98,20860704,20251107,42.5476,117.0,,,,,BUY
TTD,23.97,2026/04/24,16:00 EDT,1.3499985,23.64,24.17,22.98,20860704,20251007,56.0401,42.0,,,,,SELL
TTD,23.97,2026/04/24,16:00 EDT,1.3499985,23.64,24.17,22.98,20860704,20251006,52.9826,188.0,,,,,SELL
TTD,23.97,2026/04/24,16:00 EDT,1.3499985,23.64,24.17,22.98,20860704,20250919,43.78484,230.0,,,,,BUY
UNH,354.92,2026/04/24,16:00 EDT,0.360016,356.49,358.2,351.385,8545096,20260127,285.38,18.0,,,,,BUY
UNH,354.92,2026/04/24,16:00 EDT,0.360016,356.49,358.2,351.385,8545096,20250919,339.95288,15.0,,,,,BUY
RPD,5.95,2026/04/24,16:00 EDT,0.17000008,5.74,5.95,5.68,2084208,20250916,19.56334,155.0,,,,,BUY
SNAP,5.65,2026/04/24,16:02 EDT,0.0799999,5.59,5.69,5.48,32507344,20250923,8.41,50.0,,,,,BUY
SNAP,5.65,2026/04/24,16:02 EDT,0.0799999,5.59,5.69,5.48,32507344,20250922,8.85,400.0,0.0,,,,SELL
SNAP,5.65,2026/04/24,16:02 EDT,0.0799999,5.59,5.69,5.48,32507344,20250916,7.55,400.0,,,,,BUY
HIMS,30.56,2026/04/24,16:00 EDT,2.41,29.5,31.3298,28.9,40409599,20260205,23.14,108.0,,,,,BUY
HIMS,30.56,2026/04/24,16:00 EDT,2.41,29.5,31.3298,28.9,40409599,20250916,50.48919,80.0,,,,,BUY
SMCI,29.08,2026/04/24,16:00 EDT,2.33,27.5,29.485,27.28,38559400,20260107,29.98,43.0,,,,,BUY
SMCI,29.08,2026/04/24,16:00 EDT,2.33,27.5,29.485,27.28,38559400,20251223,30.6744,1.0,,,,,SELL
SMCI,29.08,2026/04/24,16:00 EDT,2.33,27.5,29.485,27.28,38559400,20250916,45.05552,111.0,,,,,BUY
MRNA,50.73,2026/04/24,16:00 EDT,-2.119999,53.38,53.49,50.5723,4552397,20251219,33.4,200.0,,,,,SELL
MRNA,50.73,2026/04/24,16:00 EDT,-2.119999,53.38,53.49,50.5723,4552397,20250916,25.28971,200.0,,,,,BUY
LULU,143.8,2026/04/24,16:00 EDT,2.1399994,141.875,145.3905,141.8,3817914,20251006,176.5601,14.0,,,,,SELL
LULU,143.8,2026/04/24,16:00 EDT,2.1399994,141.875,145.3905,141.8,3817914,20251006,174.8601,28.0,,,,,SELL
LULU,143.8,2026/04/24,16:00 EDT,2.1399994,141.875,145.3905,141.8,3817914,20250916,162.65032,56.0,,,,,BUY
ASTS,76.4,2026/04/24,16:00 EDT,-2.3499985,79.07,79.6,75.95,11878588,20251204,73.15,50.0,,,,,SELL
ASTS,76.4,2026/04/24,16:00 EDT,-2.3499985,79.07,79.6,75.95,11878588,20251006,70.844,25.0,,,,,SELL
ASTS,76.4,2026/04/24,16:00 EDT,-2.3499985,79.07,79.6,75.95,11878588,20251002,65.89,25.0,,,,,SELL
ASTS,76.4,2026/04/24,16:00 EDT,-2.3499985,79.07,79.6,75.95,11878588,20250923,52.88,169.0,,,,,SELL
ASTS,76.4,2026/04/24,16:00 EDT,-2.3499985,79.07,79.6,75.95,11878588,20250909,37.1721,269.0,,,,,BUY
RDW,9.68,2026/04/24,16:00 EDT,-0.36,10.28,10.29,9.53,25951766,20260107,9.921645,304.0,,,,,SELL
RDW,9.68,2026/04/24,16:00 EDT,-0.36,10.28,10.29,9.53,25951766,20251014,9.65,305.0,,,,,SELL
RDW,9.68,2026/04/24,16:00 EDT,-0.36,10.28,10.29,9.53,25951766,20250923,8.084725,618.0,,,,,SELL
RDW,9.68,2026/04/24,16:00 EDT,-0.36,10.28,10.29,9.53,25951766,20250909,8.16181,1227.0,,,,,BUY
TDOC,5.75,2026/04/24,16:00 EDT,0.0500002,5.73,5.79,5.6,3139217,20260120,6.1391,325.0,,,,,BUY
TDOC,5.75,2026/04/24,16:00 EDT,0.0500002,5.73,5.79,5.6,3139217,20251006,8.751,650.0,,,,,SELL
TDOC,5.75,2026/04/24,16:00 EDT,0.0500002,5.73,5.79,5.6,3139217,20250909,7.81262,1500.0,,,,,BUY
